,time,price
1084,2018-01-04 13:00:40,46.64
1088,2018-01-04 13:01:20,46.62
1090,2018-01-04 13:01:40,46.89
1092,2018-01-04 13:02:00,46.89
1096,2018-01-04 13:02:40,46.565
1099,2018-01-04 13:03:10,46.56
1100,2018-01-04 13:03:20,46.6
1101,2018-01-04 13:03:30,46.62
1104,2018-01-04 13:04:00,46.915
1106,2018-01-04 13:04:20,46.93
1107,2018-01-04 13:04:30,46.61
1108,2018-01-04 13:04:40,46.9
1112,2018-01-04 13:05:20,46.65
1113,2018-01-04 13:05:30,46.89
1116,2018-01-04 13:06:00,46.94
1117,2018-01-04 13:06:10,46.94
1121,2018-01-04 13:06:50,46.64
1122,2018-01-04 13:07:00,46.65
1132,2018-01-04 13:08:40,46.61
1134,2018-01-04 13:09:00,46.58
1136,2018-01-04 13:09:20,46.59
1143,2018-01-04 13:10:30,46.598
1146,2018-01-04 13:11:00,46.59
1148,2018-01-04 13:11:20,46.94
1151,2018-01-04 13:11:50,46.61
1152,2018-01-04 13:12:00,46.96
1153,2018-01-04 13:12:10,46.93
1154,2018-01-04 13:12:20,46.91
1155,2018-01-04 13:12:30,46.89
1157,2018-01-04 13:12:50,46.885
1159,2018-01-04 13:13:10,46.61
1166,2018-01-04 13:14:20,46.85
1171,2018-01-04 13:15:10,46.595
1172,2018-01-04 13:15:20,46.89
1173,2018-01-04 13:15:30,46.92
1174,2018-01-04 13:15:40,46.93
1175,2018-01-04 13:15:50,46.95
1176,2018-01-04 13:16:00,46.97
1177,2018-01-04 13:16:10,47.01
1178,2018-01-04 13:16:20,47.05
1180,2018-01-04 13:16:40,47.08
1181,2018-01-04 13:16:50,47.08
1182,2018-01-04 13:17:00,46.57
1183,2018-01-04 13:17:10,47.02
1184,2018-01-04 13:17:20,46.52
1185,2018-01-04 13:17:30,46.52
1186,2018-01-04 13:17:40,47.08
1187,2018-01-04 13:17:50,47.11
1188,2018-01-04 13:18:00,47.13
1189,2018-01-04 13:18:10,46.5
1190,2018-01-04 13:18:20,46.5
1191,2018-01-04 13:18:30,47.145
1192,2018-01-04 13:18:40,47.18
1193,2018-01-04 13:18:50,46.49
1194,2018-01-04 13:19:00,47.15
1195,2018-01-04 13:19:10,47.21
1196,2018-01-04 13:19:20,46.425
1197,2018-01-04 13:19:30,46.5
1198,2018-01-04 13:19:40,47.14
1199,2018-01-04 13:19:50,47.1
1201,2018-01-04 13:20:10,47.23
1203,2018-01-04 13:20:30,47.19
1204,2018-01-04 13:20:40,47.25
1206,2018-01-04 13:21:00,47.3
1207,2018-01-04 13:21:10,47.21
1208,2018-01-04 13:21:20,47.3
1209,2018-01-04 13:21:30,47.265
1210,2018-01-04 13:21:40,47.2636
1211,2018-01-04 13:21:50,47.19
1212,2018-01-04 13:22:00,47.14
1213,2018-01-04 13:22:10,47.14
1214,2018-01-04 13:22:20,46.51
1216,2018-01-04 13:22:40,46.4601
1221,2018-01-04 13:23:30,46.465
1223,2018-01-04 13:23:50,47.01
1224,2018-01-04 13:24:00,46.5075
1226,2018-01-04 13:24:20,46.51
1228,2018-01-04 13:24:40,46.49
1230,2018-01-04 13:25:00,46.95
1231,2018-01-04 13:25:10,46.45
1237,2018-01-04 13:26:10,46.96
1240,2018-01-04 13:26:40,46.49100000000001
1245,2018-01-04 13:27:30,47.02
1246,2018-01-04 13:27:40,46.4
1248,2018-01-04 13:28:00,46.4
1252,2018-01-04 13:28:40,46.4499
1256,2018-01-04 13:29:20,47.09
1259,2018-01-04 13:29:50,46.4
1260,2018-01-04 13:30:00,46.42
1263,2018-01-04 13:30:30,46.41
1264,2018-01-04 13:30:40,47.1699
1267,2018-01-04 13:31:10,46.4
1268,2018-01-04 13:31:20,46.4
1271,2018-01-04 13:31:50,46.4
1272,2018-01-04 13:32:00,46.38
1274,2018-01-04 13:32:20,47.11
1275,2018-01-04 13:32:30,47.105
1276,2018-01-04 13:32:40,46.4
1279,2018-01-04 13:33:10,47.1
1283,2018-01-04 13:33:50,47.09
1284,2018-01-04 13:34:00,46.37
1294,2018-01-04 13:35:40,47.13
1296,2018-01-04 13:36:00,47.14
1297,2018-01-04 13:36:10,46.37
1301,2018-01-04 13:36:50,46.41
1302,2018-01-04 13:37:00,47.09
1303,2018-01-04 13:37:10,46.4388
1304,2018-01-04 13:37:20,47.09
1312,2018-01-04 13:38:40,47.15
1314,2018-01-04 13:39:00,47.1
1316,2018-01-04 13:39:20,46.45
1318,2018-01-04 13:39:40,47.13
1320,2018-01-04 13:40:00,47.17
1321,2018-01-04 13:40:10,47.15
1322,2018-01-04 13:40:20,46.4
1323,2018-01-04 13:40:30,47.105
1324,2018-01-04 13:40:40,46.45
1329,2018-01-04 13:41:30,46.47
1330,2018-01-04 13:41:40,47.105
1338,2018-01-04 13:43:00,47.165
1340,2018-01-04 13:43:20,47.23
1343,2018-01-04 13:43:50,46.49
1344,2018-01-04 13:44:00,47.15
1347,2018-01-04 13:44:30,46.46
1349,2018-01-04 13:44:50,46.49
1351,2018-01-04 13:45:10,47.11
1363,2018-01-04 13:47:10,47.0601
1364,2018-01-04 13:47:20,47.1293
1365,2018-01-04 13:47:30,47.06
1369,2018-01-04 13:48:10,47.06
1370,2018-01-04 13:48:20,46.99
1372,2018-01-04 13:48:40,46.485
1376,2018-01-04 13:49:20,46.516000000000005
1378,2018-01-04 13:49:40,46.97
1379,2018-01-04 13:49:50,46.98
1380,2018-01-04 13:50:00,46.53
1385,2018-01-04 13:50:50,46.95
1386,2018-01-04 13:51:00,46.57
1393,2018-01-04 13:52:10,46.585
1395,2018-01-04 13:52:30,47.01
1396,2018-01-04 13:52:40,46.985
1397,2018-01-04 13:52:50,46.58
1401,2018-01-04 13:53:30,46.51
1403,2018-01-04 13:53:50,46.978
1406,2018-01-04 13:54:20,46.9
1408,2018-01-04 13:54:40,46.5599
1409,2018-01-04 13:54:50,46.51
1421,2018-01-04 13:56:50,46.5101
1422,2018-01-04 13:57:00,46.53
1425,2018-01-04 13:57:30,46.54
1426,2018-01-04 13:57:40,46.56
1428,2018-01-04 13:58:00,46.96
1429,2018-01-04 13:58:10,46.97
1430,2018-01-04 13:58:20,46.89
1432,2018-01-04 13:58:40,46.913999999999994
1433,2018-01-04 13:58:50,46.53
1438,2018-01-04 13:59:40,46.87
